cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
31895683,8005129-09.2023.8.05.0039,2056998.20,31895683000116,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO INDUSTRIAL DO BRASIL S/A,"ROWS:p5r11,p17r5|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
09536120,0804401-51.2025.8.14.0039,2037616.99,09536120000263,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,SEMPRE AGTECH LTDA,ROWS:p2r7,2026-09-03T23:03:32Z,build
05571228,0804401-51.2025.8.14.0039,2016948.56,05571228000155,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,FERTILIZANTES TOCANTINS S.A,ROWS:p2r1,2026-09-03T23:03:32Z,build
71799001,8005129-09.2023.8.05.0039,2002544.34,71799001000196,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,REICHENBACH EQUIP IND.COM. LTDA,ROWS:p19r6|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
25382606,0804401-51.2025.8.14.0039,1849550.98,25382606000160,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,URA AGRO FUNDO DE INVESTIMENTO EM DIREIT,ROWS:p2r12,2026-09-03T23:03:32Z,build
08632394,8005129-09.2023.8.05.0039,1841469.99,08632394000102,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,RED FIDC,"ROWS:p9r10,p19r5|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
07237373,8005129-09.2023.8.05.0039,1794937.22,07237373000120,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO DO NORDESTE,"ROWS:p5r10,p17r4|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
62143847,8005129-09.2023.8.05.0039,1624039.19,62143847000182|62143847000263,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,DACARTO BENVIC LTDA,"ROWS:p6r12,p6r13|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
51254159,8005129-09.2023.8.05.0039,1557723.71,51254159000173,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,KARINA IND E COM DE PLASTICOS LTDA,ROWS:p8r5|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
00000000,,1456767.85,00000000000191,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,BANCO DO BRASIL SA,CASE_NUMBER_MISSING|ROWS:p3r3,2026-09-03T23:03:32Z,build
00000000,0301015-33.2016.8.24.0031,1428907.29,00000000000191,1,e Extrajudicia,,,1,FLOOR,98f99945499b4824d14d0e34451a96945464b6ec,BANCO DO BRASIL S.A CNPJ,ROWS:p2r15|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
90400888,0008526-45.2025.8.17.2001,1400946.80,90400888000142,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO SANTANDER (BRASIL) S.A,ROWS:p5r53,2026-09-03T23:03:32Z,build
20366728,0804401-51.2025.8.14.0039,1367817.98,20366728000149,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,CASA BUGRE GOIAS COMERCIO E REPRESENTACA,ROWS:p1r9,2026-09-03T23:03:32Z,build
60846599,8005129-09.2023.8.05.0039,1359881.30,60846599000534,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,IBRAME INDUST RIA BRASILEIRA DE METAIS S,"ROWS:p7r11,p18r3|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
20791371,8005129-09.2023.8.05.0039,1357782.33,20791371000146,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,LS INTERBANK,ROWS:p8r14|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
50202890,0008526-45.2025.8.17.2001,1135255.25,50202890000192,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,CREDMEI SECURITIZADORA II SPE S.A,ROWS:p5r54,2026-09-03T23:03:32Z,build
60746948,,1119574.81,60746948000112,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,BANCO BRADESCO S.A.,CASE_NUMBER_MISSING|ROWS:p3r1,2026-09-03T23:03:32Z,build
21877243,0008526-45.2025.8.17.2001,1068252.89,21877243000182,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA,ROWS:p5r48,2026-09-03T23:03:32Z,build
31872495,0008526-45.2025.8.17.2001,1009368.30,31872495000172,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO C6 S.A,ROWS:p5r65,2026-09-03T23:03:32Z,build
58160789,8005129-09.2023.8.05.0039,997900.20,58160789000128,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO SAFRA,"ROWS:p5r12,p17r6|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
