creditor_name,cnpj,case_number,amount_old,status_old,source_url,raw
SAFEGOLD GERENCIAMENTO DE CAPITAL LTDA,13177802000113,,203501.15,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","SAFEGOLD GERENCIAMENTO DE CAPITAL LTDA |  |  |  |  |  | 13177802000113 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 203,501.15 | 50875.2875 | 30525.1725 | 20350.115 | TRUSTED_NAME_ALIGNED | 0.842 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul "
IRON COMEX LTDA,43464332000130,0008526-45.2025.8.17.2001,184223.97,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"IRON COMEX LTDA |  |  |  |  |  | 43464332000130 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 184,223.97 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | PE | RECIFE | Comércio ataca"
GEDOZ COMERCIO DE FERROS LTDA,87821278000299,,178822.70,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","GEDOZ COMERCIO DE FERROS LTDA |  |  |  |  |  | 87821278000299 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 178,822.70 |  |  |  | TRUSTED_NAME_ALIGNED | 0.735 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Comércio"
BELMAN COMERCIO DE ACOS LTDA,02925166000144,,152754.49,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","BELMAN COMERCIO DE ACOS LTDA |  |  |  |  |  | 02925166000144 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 152,754.49 |  |  |  | TRUSTED_NAME_ALIGNED | 0.807 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Comércio "
M.C. ARRUDA ADMINISTRADORA DE BENS S.A.,14724478000179,0008526-45.2025.8.17.2001,107500.00,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"M.C. ARRUDA ADMINISTRADORA DE BENS S.A. |  |  |  |  |  | 14724478000179 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 107,500.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.851 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | "
ATEM'S DISTRIBUIDORA DE PETROLEO S.A.,03987364000103,0652260-87.2018.8.04.0001,103343.93,,https://ajbrajalveiga.com.br/processos/download/grupo-galo/4%20-%20Edital.pdf,"ATEM'S DISTRIBUIDORA DE PETROLEO S.A. |  |  |  |  |  | 03987364000103 | ATIVA | Galo da Serra Navegação Fluvial e Logística Ltda e outros | 0652260-87.2018.8.04.0001 | III - QUIROGRAFÁRIO | R$ 103,343.93 |  |  |  | TRUSTED_NAME_ALIGNED | 0.82 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM "
ACO CEARENSE INDUSTRIAL LTDA,00990842000308,0800778-16.2023.8.20.5104,99326.74,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"ACO CEARENSE INDUSTRIAL LTDA |  |  |  |  |  | 00990842000308 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 99,326.74 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | CE | CAUCAIA"
EMPRESA DE TERMOPLASTICOS DO NORDESTE ETENO LTDA,08516950000185,0800778-16.2023.8.20.5104,96123.94,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"EMPRESA DE TERMOPLASTICOS DO NORDESTE ETENO LTDA |  |  |  |  |  | 08516950000185 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 96,123.94 |  |  |  | TRUSTED_NAME_ALIGNED | 0.868 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Nor"
VEX PAINEIS LTDA,08142786000193,8005129-09.2023.8.05.0039,90775.00,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"VEX PAINEIS LTDA |  |  |  |  |  | 08142786000193 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 90,775.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.595 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA) | SP | SAO PAULO | "
HABILIS SERVICOS E TREINAMENTOS EM TECNOLOGIA LTDA,34720351000199,0008526-45.2025.8.17.2001,88848.14,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"HABILIS SERVICOS E TREINAMENTOS EM TECNOLOGIA LTDA |  |  |  |  |  | 34720351000199 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 88,848.14 |  |  |  | TRUSTED_NAME_ALIGNED | 0.928 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco"
MEGA PACK PLASTICOS S.A,19631376000203,0800778-16.2023.8.20.5104,84000.00,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"MEGA PACK PLASTICOS S.A |  |  |  |  |  | 19631376000203 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 84,000.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.657 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | AM | MANAUS |"
