creditor_name,cnpj,case_number,amount_old,status_old,source_url,raw
ACO CEARENSE COMERCIAL LTDA,07557333001056,0800778-16.2023.8.20.5104,7605.90,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"ACO CEARENSE COMERCIAL LTDA |  |  |  |  |  | 07557333001056 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 7,605.90 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (TJRN) | CE | CAUCAIA |"
GPBR PARTICIPACOES LTDA.,15664649000184,0008526-45.2025.8.17.2001,7338.93,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"GPBR PARTICIPACOES LTDA. |  |  |  |  |  | 15664649000184 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 7,338.93 |  |  |  | TRUSTED_NAME_ALIGNED | 0.839 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | SP | SAO PAULO | "
TRANSPORTES RODOVIA SUL LTDA,90863325000190,,6981.59,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","TRANSPORTES RODOVIA SUL LTDA |  |  |  |  |  | 90863325000190 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 6,981.59 |  |  |  | TRUSTED_NAME_ALIGNED | 1 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | SANTA ROSA | Transporte rodoviá"
PLANAC I. T. - COMERCIO DIGITAL LTDA,05592445000121,0532018-89.2024.8.04.0001,6971.81,,https://ajud-mm.s3.amazonaws.com/arquivos/9736_67100457ccb7a.pdf,"PLANAC I. T. - COMERCIO DIGITAL LTDA |  |  |  |  |  | 05592445000121 | ATIVA | RD Engenharia Ltda e outros | 0532018-89.2024.8.04.0001 | III - QUIROGRAFÁRIO | R$ 6,971.81 |  |  |  | TRUSTED_NAME_ALIGNED | 0.844 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | SP | COTIA | Comércio atacadista de"
BAKOF PLASTICOS LTDA EM RECUPERACAO JUDICIAL,91967067000317,0800778-16.2023.8.20.5104,6483.00,,http://recuperacaojudicial.squarespace.com/s/LISTA-DE-CREDORES-CONSOLIDADA-ATE-04102024.pdf,"BAKOF PLASTICOS LTDA EM RECUPERACAO JUDICIAL |  |  |  |  |  | 91967067000317 | ATIVA | IMPLASVERDE INDUSTRIA DE PLASTICOS BAIXAVERDE LTDA | 0800778-16.2023.8.20.5104 | III - QUIROGRAFÁRIO | R$ 6,483.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.556 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Norte (T"
NANO EMBALAGENS LTDA,04577829000102,,5589.04,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"NANO EMBALAGENS LTDA |  |  |  |  |  | 04577829000102 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 5,589.04 |  |  |  | TRUSTED_NAME_ALIGNED | 0.811 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Comércio atacadista de artigos de escritório e de papelaria | Socie"
DECORACAO CASA 4 COMERCIO DE MOVEIS LTDA.,16604239000100,,5038.28,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"DECORACAO CASA 4 COMERCIO DE MOVEIS LTDA. |  |  |  |  |  | 16604239000100 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 5,038.28 |  |  |  | TRUSTED_NAME_ALIGNED | 0.886 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SP | SAO PAULO | Comércio varejista de móveis | Sociedade Empr"
ALUSUPRA ALUMINIO LTDA,08329905000111,,5024.32,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"ALUSUPRA ALUMINIO LTDA |  |  |  |  |  | 08329905000111 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 5,024.32 |  |  |  | TRUSTED_NAME_ALIGNED | 0.829 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Comércio varejista de ferragens e ferramentas | Sociedade Empresá"
CL SUL TRANSPORTES LTDA,08025373000390,8005129-09.2023.8.05.0039,4900.00,,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"CL SUL TRANSPORTES LTDA |  |  |  |  |  | 08025373000390 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 4,900.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.8 | PROVISIONAL_CLASS_III_CANDIDATE | Bahia (TJBA) | SP | SAO PAUL"
DISMAFER DISTRIBUIDORA DE MAQUINAS E FERRAMENTAS LTDA,04112126000109,,4783.10,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"DISMAFER DISTRIBUIDORA DE MAQUINAS E FERRAMENTAS LTDA |  |  |  |  |  | 04112126000109 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 4,783.10 |  |  |  | TRUSTED_NAME_ALIGNED | 0.719 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | CHAPECO | Preparação de documentos e serviços"
BUSARELLO COMERCIO ATACADISTA DE EMBALAGENS LTDA,09037969000101,,4717.50,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"BUSARELLO COMERCIO ATACADISTA DE EMBALAGENS LTDA |  |  |  |  |  | 09037969000101 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 4,717.50 |  |  |  | TRUSTED_NAME_ALIGNED | 0.78 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Comércio atacadista de embalagens | Soci"
NEOGRID INFORMATICA LTDA,05794609000101,0008526-45.2025.8.17.2001,4699.29,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"NEOGRID INFORMATICA LTDA |  |  |  |  |  | 05794609000101 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 4,699.29 |  |  |  | TRUSTED_NAME_ALIGNED | 0.733 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | SC | JOINVILLE | "
CROPFERT INDUSTRIA DE FERTILIZANTES E AGROQUIMICOS LTDA,18373437000136,0804401-51.2025.8.14.0039,467392.00,18373437000136,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=6879,"CROPFERT INDUSTRIA DE FERTILIZANTES E AGROQUIMICOS LTDA | 18373437000136 | ATIVA | SOJAL COMERCIAL AGRICOLA LTDA e outros | 0804401-51.2025.8.14.0039 | III - QUIROGRAFÁRIO | R$ 467,392.00 | TRUSTED_NAME_ALIGNED | 0.765 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | PR | JANDAIA DO SUL | Fabricaçã"
FRETEFY TECNOLOGIA S.A.,32998118000147,0008526-45.2025.8.17.2001,4317.08,32998118000147,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"FRETEFY TECNOLOGIA S.A. | 32998118000147 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 4,317.08 | TRUSTED_NAME_ALIGNED | 0.778 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | PR | CURITIBA | Desenvolvimento de program"
COLLEONY PRODUTOS E SISTEMAS PARA HIGIENIZACAO LTDA,02200306000117,,4085.00,02200306000117,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","COLLEONY PRODUTOS E SISTEMAS PARA HIGIENIZACAO LTDA | 02200306000117 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 4,085.00 | TRUSTED_NAME_ALIGNED | 0.757 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Comércio var"
COMERCIAL DE BORRACHAS FASISA LTDA,88827555000152,,3764.80,88827555000152,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","COMERCIAL DE BORRACHAS FASISA LTDA | 88827555000152 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 3,764.80 | TRUSTED_NAME_ALIGNED | 0.866 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Comércio atacadista especiali"
METALURGICA SCHIOPPA LTDA,61174652000137,,3297.20,61174652000137,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"METALURGICA SCHIOPPA LTDA | 61174652000137 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 3,297.20 | TRUSTED_NAME_ALIGNED | 0.571 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SP | SAO PAULO | Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas"
LEITZ FERRAMENTAS PARA MADEIRA LTDA,90815150000146,,3005.66,90815150000146,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"LEITZ FERRAMENTAS PARA MADEIRA LTDA | 90815150000146 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 3,005.66 | TRUSTED_NAME_ALIGNED | 0.822 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | RS | SAO SEBASTIAO DO CAI | Fabricação de máquinas-ferramenta, peças e acessórios | Sociedad"
ID CARGO BRASIL LTDA,20306967000103,,2991.70,20306967000103,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","ID CARGO BRASIL LTDA | 20306967000103 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,991.70 | TRUSTED_NAME_ALIGNED | 0.769 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | NOVO HAMBURGO | Transporte rodoviário de carga, exceto prod"
INDUSTRIAS ESPLANADA LTDA,04534459000126,0652260-87.2018.8.04.0001,2945.00,04534459000126,https://ajbrajalveiga.com.br/processos/download/grupo-galo/4%20-%20Edital.pdf,"INDUSTRIAS ESPLANADA LTDA | 04534459000126 | ATIVA | Galo da Serra Navegação Fluvial e Logística Ltda e outros | 0652260-87.2018.8.04.0001 | III - QUIROGRAFÁRIO | R$ 2,945.00 | TRUSTED_NAME_ALIGNED | 0.585 | PROVISIONAL_CLASS_III_CANDIDATE | Amazonas (TJAM) | AM | MANAUS | Fabricação de estruturas m"
DOMINALOG EXPRESS LOGISTICA INTEGRADA LTDA,18247063000102,,2892.10,18247063000102,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","DOMINALOG EXPRESS LOGISTICA INTEGRADA LTDA | 18247063000102 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,892.10 | TRUSTED_NAME_ALIGNED | 0.844 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | BARUERI | Transporte rodoviário de ca"
SOLIDES TECNOLOGIA S/A,10461302000110,0008526-45.2025.8.17.2001,2857.35,10461302000110,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"SOLIDES TECNOLOGIA S/A | 10461302000110 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 2,857.35 | TRUSTED_NAME_ALIGNED | 0.714 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | MG | BELO HORIZONTE | Desenvolvimento e lic"
MOVIDA LOCACAO DE VEICULOS S.A.,07976147000160,,2807.36,07976147000160,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","MOVIDA LOCACAO DE VEICULOS S.A. | 07976147000160 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,807.36 | TRUSTED_NAME_ALIGNED | 0.868 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SAO PAULO | Locação de automóveis sem condutor |"
TELEFONICA BRASIL S.A.,02558157001720,,2784.27,02558157001720,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","TELEFONICA BRASIL S.A. | 02558157001720 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,784.27 | TRUSTED_NAME_ALIGNED | 0.75 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | PORTO ALEGRE | Serviços de telefonia fixa comutada - STFC "
ARQUIVEI SERVICOS ON LINE LTDA,19427033000140,0008526-45.2025.8.17.2001,2671.65,19427033000140,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"ARQUIVEI SERVICOS ON LINE LTDA | 19427033000140 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 2,671.65 | TRUSTED_NAME_ALIGNED | 0.78 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | SP | SAO CARLOS | Desenvolvimento e "
ASIA SHIPPING TRANSPORTES INTERNACIONAIS LTDA,01137526000180,,2596.27,01137526000180,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","ASIA SHIPPING TRANSPORTES INTERNACIONAIS LTDA | 01137526000180 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,596.27 | TRUSTED_NAME_ALIGNED | 0.769 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | SANTOS | Atividades de agenciament"
ADAM DISTRIBUIDORA LTDA,03433636000115,,2576.15,03433636000115,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"ADAM DISTRIBUIDORA LTDA | 03433636000115 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 2,576.15 | TRUSTED_NAME_ALIGNED | 0.8 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | TIMBO | Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho |"
PETRYMAR TRANSPORTES LTDA,90605759000190,,2548.37,90605759000190,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","PETRYMAR TRANSPORTES LTDA | 90605759000190 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 2,548.37 | TRUSTED_NAME_ALIGNED | 0.71 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | Transporte rodoviário de carga, exceto "
COPIMAGEM GRAFICA DIGITAL LTDA,05898365000107,,2506.00,05898365000107,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"COPIMAGEM GRAFICA DIGITAL LTDA | 05898365000107 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 2,506.00 | TRUSTED_NAME_ALIGNED | 0.786 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Serviços de acabamentos gráficos, exceto encadernação e plastificação | Sociedade"
ASSOCIACAO PROATIVA DO PARA - APPA,07611485000107,0820780-23.2026.8.14.0301,2479.03,07611485000107,https://cdn.dol.com.br/img/attachmentinline/940000/6publicacao-2-edital-art-7-parag-2-da-lei-11101-20009467060.pdf?xid=3272528,"ASSOCIACAO PROATIVA DO PARA - APPA | 07611485000107 | ATIVA | PAYSANDU SPORT CLUB | 0820780-23.2026.8.14.0301 | III - QUIROGRAFÁRIO | R$ 2,479.03 | TRUSTED_NAME_ALIGNED | 0.719 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | PA | BELEM | Atividades de associações de defesa de direitos sociais | As"
JOCLAMAR LTDA.,75795625000196,,2300.45,75795625000196,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/edital-quadro-geral-de-credores.pdf,"JOCLAMAR LTDA. | 75795625000196 | ATIVA | Unknown Debtor |  | III - QUIROGRAFÁRIO | R$ 2,300.45 | TRUSTED_NAME_ALIGNED | 0.64 | PROVISIONAL_CLASS_III_CANDIDATE | Santa Catarina (TJSC) | SC | BLUMENAU | Comércio varejista de material elétrico | Sociedade Empresária Limitada | 4721026655 |  |  | https"
