cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
01080512,5057720-48.2025.8.24.0023,3349893.45,01080512000178,1,Grupo Rech | Administração Judicial - Credibilità,,,1,FLOOR,cf92cff797d25108be0439a46ee6864d615a1be4,NÃO,ROWS:p2r16|UNRECONCILED_SOURCE|VALUE_COL:Valor_Após_Analise,2026-09-03T23:36:48Z,build
00360305,1000119-75.2025.8.26.0354,3336220.00,00360305000104,1,Ativos,,,1,FLOOR,7e2dd0270ed86b1f71e6e3a9cc21d965a29b3955,CAIXA ECONOMICA FEDERAL,LIKELY_FINANCIAL_BY_NAME|ROWS:p3r32|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
07237373,0001639-09.2026.8.17.2810,3330393.67,07237373000120,1,E FALENCIA,,,1,FLOOR,5da7b77bb56987c0953fc02532d71c91d78b3527,BNB S.A,ROWS:p13r5,2026-09-03T23:36:48Z,build
05784234,0002484-82.2022.8.17.2001,3309751.29,05784234000190,3,e Falência,,,1,FLOOR,f3b6182e3aa2715450af4d59223acc49f7047632,M.K. GALONE CONFECCOES E COMERCIO DE ROUPAS LTDA,"PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p4r87,p7r111,p9r84",2026-09-03T23:36:48Z,build
60701190,,3279415.79,60701190000104,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,ITAU UNIBANCO S.A.,CASE_NUMBER_MISSING|LIKELY_FINANCIAL_BY_NAME|ROWS:p3r4,2026-09-03T23:36:47Z,build
08785522,0000721-61.2024.8.17.2620,3206338.81,08785522000158,1,GRUPO DIVINA INDUSTRIA DE COURO LTDA – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,38f0c15b8a2d8dc124ae88df3b8958088a54cfcc,DIVINA INDUSTRIA DE COURO LTDA,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p2r34,2026-09-03T23:36:48Z,build
60701190,4000167-23.2025.8.26.0373,3183929.48,60701190000104,4,Cerealista Sa,,,1,FLOOR,18975be46188194b42b5cec2007635d33a16225c,ITAU UNIBANCO S.A.,"LIKELY_FINANCIAL_BY_NAME|ROWS:p8r21,p8r22,p8r23,p8r24|UNRECONCILED_SOURCE",2026-09-03T23:36:48Z,build
31880826,0001639-09.2026.8.17.2810,3164000.00,31880826000116,1,E FALENCIA,,,1,FLOOR,5da7b77bb56987c0953fc02532d71c91d78b3527,BANCO GUANABARA,LIKELY_FINANCIAL_BY_NAME|ROWS:p13r3,2026-09-03T23:36:48Z,build
10505803,5341375-33.2026.8.09.0049,3159739.59,10505803000151,1,"Grupo 3E, em consolidação substancia",,,1,FLOOR,8e8832093a15aa7f9dc936a37e882fe66a1fe43d,Lorotti Empreendimentos Imobiliarios,ROWS:p15r31|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
60746948,8005129-09.2023.8.05.0039,3153794.96,60746948000112,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BRADESCO S.A,"LIKELY_FINANCIAL_BY_NAME|ROWS:p5r16,p17r7|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:36:47Z,build
02524216,0002484-82.2022.8.17.2001,3140000.00,02524216000181,1,e Falência,,,1,FLOOR,f3b6182e3aa2715450af4d59223acc49f7047632,ALFANI CONFECCOES E COMERCIO LTDA,PARTIAL_DOC_CLASS_III_RECONCILED|ROWS:p9r52,2026-09-03T23:36:48Z,build
62232889,8005129-09.2023.8.05.0039,3115885.56,62232889000190,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO DAYCOVAL S.A.,LIKELY_FINANCIAL_BY_NAME|ROWS:p5r8|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores,2026-09-03T23:36:47Z,build
92816560,5012306-16.2022.8.21.0023,3110845.12,92816560000137,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,ebfb999b457caf45140ea7446a22cd3751154eaf,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL - BRDE (,LIKELY_FINANCIAL_BY_NAME|ROWS:p25r63|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
33124959,0032731-52.2010.8.17.0001,3094127.99,33124959000198,1,E FALENCIA,,,1,FLOOR,bf3c4e448c3e0499bc7b3b13b6efa1d1598d598a,,NAME_MISSING|ROWS:p8r1|UNRECONCILED_SOURCE|VALUE_COL:Crédito_1ª_Lista,2026-09-03T23:36:47Z,build
01631022,0037411-27.2022.8.16.0021,3083893.62,01631022000465|90400888000142,1,"APRESENTADO PELA RECUPERANDA, NA FORMA Distribuidora S.A",,,1,FLOOR,437e79745649ebc229e33ceff1017c077113003a,Vianmaq Equipamentos LTDA (CNPJ nº,MULTI_ROOT|ROWS:p1r45|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
21397569,5011460-87.2023.8.24.0020,3056640.00,21397569000102,1,TOP TEXTIL EMBALAGENS LTDA,,,1,FLOOR,741aed48dd004485cbfaf3bc50def81229cab4e3,AV BRIGADEIRO FARIA LIMA N 1355,ROWS:p2r45|UNRECONCILED_SOURCE,2026-09-03T23:36:47Z,build
90400888,0000880-57.2020.8.17.2001,3015539.04,90400888000142,1,e Falência,,,1,FLOOR,44ecd0afa707dc9a78430215646a429a26d22516,BANCO SANTANDER (BRASIL) S/A,"ALT_VALUE:R$15.539,04|ALT_VALUE:R$3.000.000,00|LIKELY_FINANCIAL_BY_NAME|ROWS:p10r8|UNRECONCILED_SOURCE|VALUE_COL:2ª_Lista",2026-09-03T23:36:47Z,build
05429994,0804401-51.2025.8.14.0039,3014807.20,05429994001313,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,VEGETAL AGRONEGOCIOS LTDA,ROWS:p2r13,2026-09-03T23:36:47Z,build
88305859,5341375-33.2026.8.09.0049,3009813.42,88305859002012,1,"Grupo 3E, em consolidação substancia",,,1,FLOOR,8e8832093a15aa7f9dc936a37e882fe66a1fe43d,Nutrien Solucoes Agricolas,ROWS:p16r30|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
60701190,8005129-09.2023.8.05.0039,3004176.14,60701190000104,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,ITAÚ UNIBANCO S.A.,"LIKELY_FINANCIAL_BY_NAME|ROWS:p8r3,p18r5|UNRECONCILED_SOURCE",2026-09-03T23:36:47Z,build
53943098,0020255-24.2020.5.04.0104,3000000.00,53943098000187,1,Base | AJ RUIZ - Administração Judicial,,,1,FLOOR,2407a56c35028c413305535a1dd008db0d00dcd7,ROD JULIANO LORENZETTI KM 04 MARECHAL RONDOM DISTRO INDUSTRIAL - LENÇOIS PAULISTA - SP - CEP 18685-900,ALT_VALUE:cliente|ROWS:p2r21|VALUE_COL:Valor_Do_Crédito,2026-09-03T23:36:48Z,build
58160789,0005010-50.2013.8.24.0026,2978264.57,58160789000128,1,MANNES LTDA E BM EMPREENDIMENTOS E PARTICIPAÇÕES – Sgrott Administradora Judicial e Consultoria Empresarial,,,1,FLOOR,ea17ba43b2611e60da78d77cd10f534a8d7ffa56,BANCO SAFRA S/A,LIKELY_FINANCIAL_BY_NAME|ROWS:p13r8|UNRECONCILED_SOURCE,2026-09-03T23:36:48Z,build
60746948,5012743-51.2023.8.24.0019,2966807.47,60746948000112,1,Alto Uruguai Indústria e Comércio de Óleos Ltda,,,1,FLOOR,75336e98f447837fcdb5e795c7aa49c9bea54c52,BANCO BRADESCO S.A.,LIKELY_FINANCIAL_BY_NAME|ROWS:p1r7|VALUE_COL:Valor_Do_Crédito,2026-09-03T23:36:48Z,build
00000000,1018313-46.2024.8.26.0100,2961832.77,00000000000191,2,JA SANTOS IMPORTAÇÃO E EXPORTAÇÃO DE FERRAMENTAS LTDA. (CONCEPT FERRAMENTAS) - Vivante Gestão e Administração Judicial,,,1,FLOOR,033d29144f63ddddfb2c802c22d6db8f5f1079d8,SAUN - Quadra 5 - Lote B – Ed. Banco do Brasil - 3º andar - CEP: 70040-912 - Brasília - DF,"LIKELY_FINANCIAL_BY_NAME|ROWS:p1r3,p1r4|VALUE_COL:Valor",2026-09-03T23:36:48Z,build
58160789,0008526-45.2025.8.17.2001,2921565.37,58160789000128,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO SAFRA S A,LIKELY_FINANCIAL_BY_NAME|ROWS:p5r52,2026-09-03T23:36:47Z,build
